charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"G*GPOPP---****X",25,160400,00,00,10032500001604000000,"MANEUVER POINTS POINT OF DEPARTURE"
"G*GPALC---****X",25,170100,00,00,10032500001701000000,"AIRSPACE CONTROL CORRIDORS AREAS AIR CORRIDOR"
"G*GPALL---****X",25,170200,00,00,10032500001702000000,"AIRSPACE CONTROL CORRIDORS AREAS LOW LEVEL TRANSIT ROUTE"
"G*GPALM---****X",25,170300,00,00,10032500001703000000,"AIRSPACE CONTROL CORRIDORS AREAS MINIMUM RISK ROUTE"
"G*GPALS---****X",25,170500,00,00,10032500001705000000,"AIRSPACE CONTROL CORRIDORS AREAS STANDARD USE ARMY AIRCRAFT FLIGHT ROUTE"
"G*GPALU---****X",25,170700,00,00,10032500001707000000,"AIRSPACE CONTROL CORRIDORS AREAS UA ROUTE"
"G*GPAAH---****X",25,170900,00,00,10032500001709000000,"AIRSPACE CONTROL CORRIDORS AREAS HIGH DENSITY AIRSPACE CONTROL ZONE"
"G*GPAAR---****X",25,171000,00,00,10032500001710000000,"AIRSPACE CONTROL CORRIDORS AREAS RESTRICTED OPERATIONS ZONE"
"G*GPAAM---****X",25,171600,00,00,10032500001716000000,"AIRSPACE CONTROL CORRIDORS AREAS MISSILE ENGAGEMENT ZONE"
"G*GPAAML--****X",25,171700,00,00,10032500001717000000,"AIRSPACE CONTROL CORRIDORS AREAS LOW ALTITUDE MISSILE ENGAGEMENT ZONE"
"G*GPAAMH--****X",25,171800,00,00,10032500001718000000,"AIRSPACE CONTROL CORRIDORS AREAS HIGH ALTITUDE MISSILE ENGAGEMENT ZONE"
"G*GPAAF---****X",25,171900,00,00,10032500001719000000,"AIRSPACE CONTROL CORRIDORS AREAS SHORT RANGE AIR DEFENSE ENGAGEMENT ZONE"
"G*GPAAW---****X",25,172000,00,00,10032500001720000000,"AIRSPACE CONTROL CORRIDORS AREAS WEAPONS FREE ZONE"
"G*GPGPA---****X",25,180000,00,00,10032500001800000000,"AIRSPACE CONTROL POINTS"
"G*GPAPP---****X",25,180100,00,00,10032500001801000000,"AIRSPACE CONTROL POINTS AIR CONTROL POINT"
"G*GPAPC---****X",25,180200,00,00,10032500001802000000,"AIRSPACE CONTROL POINTS COMMUNICATIONS CHECKPOINT"
"G*GPAPD---****X",25,180300,00,00,10032500001803000000,"AIRSPACE CONTROL POINTS DOWNED AIRCREW PICK UP POINT"
"G*GPAPU---****X",25,180400,00,00,10032500001804000000,"AIRSPACE CONTROL POINTS POP UP POINT"
"G*GPGPAT--****X",25,180600,00,00,10032500001806000000,"AIRSPACE CONTROL POINTS TACAN"
"G*GPGPAT--****X",25,180600,00,00,10032500001806000000,"AIRSPACE CONTROL POINTS TACAN 2525B"
"G*GPGPAP--****X",25,180700,00,00,10032500001807000000,"AIRSPACE CONTROL POINTS CAP STATION"
"G*GPGPAW--****X",25,180800,00,00,10032500001808000000,"AIRSPACE CONTROL POINTS AEW STATION"
"G*GPGPAA--****X",25,180900,00,00,10032500001809000000,"AIRSPACE CONTROL POINTS ASW HELO FW STATION"
"G*GPGPAA--****X",25,180900,00,00,10032500001809000000,"AIRSPACE CONTROL POINTS ASW HELO FW STATION 2525B"
"G*GPGPAS--****X",25,181000,00,00,10032500001810000000,"AIRSPACE CONTROL POINTS STRIKE INITIAL POINT"
"G*GPGPAS--****X",25,181000,00,00,10032500001810000000,"AIRSPACE CONTROL POINTS STRIKE INITIAL POINT 2525B"
"G*GPGPAL--****X",25,181100,00,00,10032500001811000000,"AIRSPACE CONTROL POINTS REPLENISHMENT STATION"
"G*GPGPAL--****X",25,181100,00,00,10032500001811000000,"AIRSPACE CONTROL POINTS REPLENISHMENT STATION 2525B"
"G*GPGPAK--****X",25,181200,00,00,10032500001812000000,"AIRSPACE CONTROL POINTS TANKING"
"G*GPGPAK--****X",25,181200,00,00,10032500001812000000,"AIRSPACE CONTROL POINTS TANKING 2525B"
"G*GPGPAH--****X",25,181300,00,00,10032500001813000000,"AIRSPACE CONTROL POINTS ANTISUBMARINE WARFARE ROTARY WING"
"G*GPGPAH--****X",25,181300,00,00,10032500001813000000,"AIRSPACE CONTROL POINTS ANTISUBMARINE WARFARE ROTARY WING 2525B"
"G*GPGPAB--****X",25,181400,00,00,10032500001814000000,"AIRSPACE CONTROL POINTS SUCAP FIXED WING"
"G*GPGPAC--****X",25,181500,00,00,10032500001815000000,"AIRSPACE CONTROL POINTS SUCAP ROTARY WING"
"G*GPGPAD--****X",25,181600,00,00,10032500001816000000,"AIRSPACE CONTROL POINTS MIW FIXED WING"
"G*GPGPAE--****X",25,181700,00,00,10032500001817000000,"AIRSPACE CONTROL POINTS MIW ROTARY WING"
"G*GPGPAO--****X",25,181800,00,00,10032500001818000000,"AIRSPACE CONTROL POINTS TOMCAT"
"G*GPGPAO--****X",25,181800,00,00,10032500001818000000,"AIRSPACE CONTROL POINTS TOMCAT 2525B"
"G*GPGPAR--****X",25,181900,00,00,10032500001819000000,"AIRSPACE CONTROL POINTS RESCUE"
"G*GPGPAR--****X",25,181900,00,00,10032500001819000000,"AIRSPACE CONTROL POINTS RESCUE 2525B"
"G*GPGPAF--****X",25,182000,00,00,10032500001820000000,"AIRSPACE CONTROL POINTS UAS UA"
"G*GPGPAG--****X",25,182100,00,00,10032500001821000000,"AIRSPACE CONTROL POINTS VTUA"
"G*GPGPAI--****X",25,182200,00,00,10032500001822000000,"AIRSPACE CONTROL POINTS ORBIT"
"G*GPGPAJ--****X",25,182300,00,00,10032500001823000000,"AIRSPACE CONTROL POINTS ORBIT FIGURE EIGHT"
"G*GPGPAM--****X",25,182400,00,00,10032500001824000000,"AIRSPACE CONTROL POINTS ORBIT RACE TRACK"
"G*GPGPAN--****X",25,182500,00,00,10032500001825000000,"AIRSPACE CONTROL POINTS ORBIT RANDOM CLOSED"
"G*GPGPWA--****X",25,210200,00,00,10032500002102000000,"MARITIME CONTROL POINTS AIM POINT"
"G*GPGPWD--****X",25,210400,00,00,10032500002104000000,"MARITIME CONTROL POINTS DROP POINT"
"G*GPGPWE--****X",25,210500,00,00,10032500002105000000,"MARITIME CONTROL POINTS ENTRY POINT"
"G*GPGPWG--****X",25,210700,00,00,10032500002107000000,"MARITIME CONTROL POINTS GROUND ZERO"
"G*GPGPWI--****X",25,210800,00,00,10032500002108000000,"MARITIME CONTROL POINTS IMPACT POINT"
"G*GPGPWP--****X",25,210900,00,00,10032500002109000000,"MARITIME CONTROL POINTS PREDICTED IMPACT POINT"
"G*GPGPWM--****X",25,211100,00,00,10032500002111000000,"MARITIME CONTROL POINTS MISSILE DETECTION POINT"
"G*GPGPUUB-****X",25,211400,00,00,10032500002114000000,"MARITIME CONTROL POINTS BRIEF CONTACT"
"G*GPGPUUD-****X",25,211500,00,00,10032500002115000000,"MARITIME CONTROL POINTS DATUM LOST CONTACT"
"G*GPGPUUL-****X",25,212000,00,00,10032500002120000000,"MARITIME CONTROL POINTS LOST CONTACT"
"G*GPGPUUS-****X",25,212100,00,00,10032500002121000000,"MARITIME CONTROL POINTS SINKER"
"G*OPFA----****X",25,212300,00,00,10032500002123000000,"MARITIME CONTROL POINTS ACOUSTIC FIX"
"G*OPFE----****X",25,212400,00,00,10032500002124000000,"MARITIME CONTROL POINTS ELECTROMAGNETIC FIX"
"G*OPFO----****X",25,212600,00,00,10032500002126000000,"MARITIME CONTROL POINTS OPTICAL FIX"
"G*GPGPF---****X",25,212700,00,00,10032500002127000000,"MARITIME CONTROL POINTS FORMATION"
"G*GPGPH---****X",25,212800,00,00,10032500002128000000,"MARITIME CONTROL POINTS HARBOR"
"G*GPGPHA--****X",25,212901,00,00,10032500002129010000,"MARITIME CONTROL POINTS HARBOR ENTRANCE POINT A"
"G*GPGPHQ--****X",25,212902,00,00,10032500002129020000,"MARITIME CONTROL POINTS HARBOR ENTRANCE POINT Q"
"G*GPGPHX--****X",25,212903,00,00,10032500002129030000,"MARITIME CONTROL POINTS HARBOR ENTRANCE POINT X"
"G*GPGPHY--****X",25,212904,00,00,10032500002129040000,"MARITIME CONTROL POINTS HARBOR ENTRANCE POINT Y"
"G*GPGPUSD-****X",25,213000,00,00,10032500002130000000,"MARITIME CONTROL POINTS DIP POSITION"
"G*GPGPUS--****X",25,213100,00,00,10032500002131000000,"MARITIME CONTROL POINTS SEARCH"
"G*GPGPUSA-****X",25,213200,00,00,10032500002132000000,"MARITIME CONTROL POINTS SEARCH AREA"
"G*GPGPUSC-****X",25,213300,00,00,10032500002133000000,"MARITIME CONTROL POINTS SEARCH CENTER"
"G*GPGPUY--****X",25,213500,00,00,10032500002135000000,"MARITIME CONTROL POINTS SONOBUOY"
"G*GPGPUYA-****X",25,213501,00,00,10032500002135010000,"MARITIME CONTROL POINTS SONOBUOY AMBIENT NOISE"
"G*GPGPUYT-****X",25,213502,00,00,10032500002135020000,"MARITIME CONTROL POINTS SONOBUOY AIR TRANSPORTABLE COMMUNICATION"
"G*GPGPUYB-****X",25,213504,00,00,10032500002135040000,"MARITIME CONTROL POINTS SONOBUOY BATHYTHERMOGRAPH TRANSMITTING"
"G*GPGPUYC-****X",25,213506,00,00,10032500002135060000,"MARITIME CONTROL POINTS SONOBUOY CASS"
"G*GPGPUYD-****X",25,213507,00,00,10032500002135070000,"MARITIME CONTROL POINTS SONOBUOY DIFAR"
"G*GPGPUYS-****X",25,213508,00,00,10032500002135080000,"MARITIME CONTROL POINTS SONOBUOY DICASS"
"G*GPGPUYX-****X",25,213510,00,00,10032500002135100000,"MARITIME CONTROL POINTS SONOBUOY EXPIRED"
"G*GPGPUYK-****X",25,213511,00,00,10032500002135110000,"MARITIME CONTROL POINTS SONOBUOY KINGPIN"
"G*GPGPUYL-****X",25,213512,00,00,10032500002135120000,"MARITIME CONTROL POINTS SONOBUOY LOFAR"
"G*GPGPUYP-****X",25,213513,00,00,10032500002135130000,"MARITIME CONTROL POINTS SONOBUOY PATTERN CENTER"
"G*GPGPUYR-****X",25,213514,00,00,10032500002135140000,"MARITIME CONTROL POINTS SONOBUOY RANGE ONLY"
"G*GPGPUYV-****X",25,213515,00,00,10032500002135150000,"MARITIME CONTROL POINTS SONOBUOY VERTICAL LINE ARRAY DIRECTIONAL FREQUENCY ANALYSIS RECORDING DIFAR"
"G*GPGPR---****X",25,213600,00,00,10032500002136000000,"MARITIME CONTROL POINTS REFERENCE POINT"
"G*GPGPRS--****X",25,213700,00,00,10032500002137000000,"MARITIME CONTROL POINTS MARITIME SPECIAL POINT"
"G*GPGPRN--****X",25,213800,00,00,10032500002138000000,"MARITIME CONTROL POINTS NAVIGATIONAL REFERENCE POINT"
"G*GPGPRD--****X",25,213900,00,00,10032500002139000000,"MARITIME CONTROL POINTS DATA LINK REFERENCE POINT"
"G*GPGPRC--****X",25,214200,00,00,10032500002142000000,"MARITIME CONTROL POINTS CORRIDOR TAB POINT"
"G*GPGPRM--****X",25,214400,00,00,10032500002144000000,"MARITIME CONTROL POINTS MARSHALL POINT"
"G*GPGPRP--****X",25,214500,00,00,10032500002145000000,"MARITIME CONTROL POINTS POSITION INTENDED MOVEMENT PIM"
"G*GPGPRW--****X",25,214800,00,00,10032500002148000000,"MARITIME CONTROL POINTS MARITIME WAYPOINT"
"G*GPGPB---****X",25,214900,00,00,10032500002149000000,"MARITIME CONTROL POINTS GENERAL SUBSURFACE STATION"
"G*GPGPBS--****X",25,215000,00,00,10032500002150000000,"MARITIME CONTROL POINTS SUBMARINE SUBSURFACE STATION"
"G*GPGPBSA-****X",25,215100,00,00,10032500002151000000,"MARITIME CONTROL POINTS SUBMARINE ANTISUBMARINE WARFARE SUBSURFACE STATION"
"G*GPGPBU--****X",25,215200,00,00,10032500002152000000,"MARITIME CONTROL POINTS UNMANNED UNDERWATER VEHICLE SUBSURFACE STATION"
"G*GPGPBUA-****X",25,215300,00,00,10032500002153000000,"MARITIME CONTROL POINTS ASW UNMANNED UNDERWATER VEHICLE SUBSURFACE STATION"
"G*GPGPBUM-****X",25,215400,00,00,10032500002154000000,"MARITIME CONTROL POINTS MINE WARFARE UNMANNED UNDERWATER VEHICLE SUBSURFACE STATION"
"G*GPGPBUS-****X",25,215500,00,00,10032500002155000000,"MARITIME CONTROL POINTS SURFACE WARFARE UNMANNED UNDERWATER VEHICLE SUBSURFACE STATION"
"G*GPGPC---****X",25,215600,00,00,10032500002156000000,"MARITIME CONTROL POINTS GENERAL SURFACE STATION"
"G*GPGPCA--****X",25,215700,00,00,10032500002157000000,"MARITIME CONTROL POINTS ASW SURFACE STATION"
"G*GPGPCM--****X",25,215800,00,00,10032500002158000000,"MARITIME CONTROL POINTS MINE WARFARE SURFACE STATION"
"G*GPGPCN--****X",25,215900,00,00,10032500002159000000,"MARITIME CONTROL POINTS NON COMBATANT SURFACE STATION"
"G*GPGPCP--****X",25,216000,00,00,10032500002160000000,"MARITIME CONTROL POINTS PICKET SURFACE STATION"
"G*GPGPCR--****X",25,216100,00,00,10032500002161000000,"MARITIME CONTROL POINTS RENDEZVOUS SURFACE STATION"
"G*GPGPCE--****X",25,216200,00,00,10032500002162000000,"MARITIME CONTROL POINTS REPLENISHMENT SEA SURFACE STATION"
"G*GPGPCC--****X",25,216300,00,00,10032500002163000000,"MARITIME CONTROL POINTS RESCUE SURFACE STATION"
"G*GPGPCS--****X",25,216400,00,00,10032500002164000000,"MARITIME CONTROL POINTS SURFACE WARFARE SURFACE STATION"
"G*GPGPCU--****X",25,216500,00,00,10032500002165000000,"MARITIME CONTROL POINTS UNMANNED UNDERWATER VEHICLE SURFACE STATION"
"G*GPGPCUA-****X",25,216600,00,00,10032500002166000000,"MARITIME CONTROL POINTS ASW UNMANNED UNDERWATER VEHICLE SURFACE STATION"
"G*GPGPCUM-****X",25,216700,00,00,10032500002167000000,"MARITIME CONTROL POINTS MINE WARFARE UNMANNED UNDERWATER VEHICLE SURFACE STATION"
"G*GPGPCUR-****X",25,216800,00,00,10032500002168000000,"MARITIME CONTROL POINTS REMOTE MULTI MISSION VEHICLE MINE WARFARE UNMANNED UNDERWATER"
"G*GPGPCUS-****X",25,216900,00,00,10032500002169000000,"MARITIME CONTROL POINTS SURFACE WARFARE MINE WARFARE UNMANNED UNDERWATER VEHICLE"
"G*GPGPO---****X",25,217100,00,00,10032500002171000000,"MARITIME CONTROL POINTS GENERAL ROUTE"
"G*GPGPOD--****X",25,217200,00,00,10032500002172000000,"MARITIME CONTROL POINTS DIVERSION ROUTE"
"G*GPGPOP--****X",25,217300,00,00,10032500002173000000,"MARITIME CONTROL POINTS PIM ROUTE"
"G*GPGPOR--****X",25,217300,00,00,10032500002173000000,"MARITIME CONTROL POINTS POINT R ROUTE"
"G*GPGPOZ--****X",25,217600,00,00,10032500002176000000,"MARITIME CONTROL POINTS RENDEZVOUS ROUTE"
"G*GPGPOW--****X",25,217700,00,00,10032500002177000000,"MARITIME CONTROL POINTS WAYPOINT ROUTE"
"G*OPEV----****X",25,218000,00,00,10032500002180000000,"MARITIME CONTROL POINTS DISTRESSED VESSEL"
"G*OPED----****X",25,218100,00,00,10032500002181000000,"MARITIME CONTROL POINTS DITCHED AIRCRAFT DOWNED AIRCRAFT"
"G*OPEP----****X",25,218200,00,00,10032500002182000000,"MARITIME CONTROL POINTS PERSON IN WATER BAILOUT"
"G*OPHI----****X",25,218300,00,00,10032500002183000000,"MARITIME CONTROL POINTS ICEBERG"
"G*OPHN----****X",25,218400,00,00,10032500002184000000,"MARITIME CONTROL POINTS NAVIGATIONAL"
"G*OPHO----****X",25,218500,00,00,10032500002185000000,"MARITIME CONTROL POINTS OIL RIG"
"G*OPHM----****X",25,218600,00,00,10032500002186000000,"MARITIME CONTROL POINTS SEA MINE LIKE"
"G*OPSBN---****X",25,218700,00,00,10032500002187000000,"MARITIME CONTROL POINTS BOTTOM RETURN NOMBO"
"G*OPSBM---****X",25,218800,00,00,10032500002188000000,"MARITIME CONTROL POINTS BOTTOM RETURN NOMBO INSTALLATION MANMADE"
"G*OPSM----****X",25,218900,00,00,10032500002189000000,"MARITIME CONTROL POINTS MARINE LIFE"
"G*OPSS----****X",25,219000,00,00,10032500002190000000,"MARITIME CONTROL POINTS SEA ANOMALY WAKE CURRENT KNUCKLE"
"G*OPSBX---****X",25,219100,00,00,10032500002191000000,"MARITIME CONTROL POINTS BOTTOM RETURN NON MILCO WRECK DANGEROUS"
"G*OPSBW---****X",25,219200,00,00,10032500002192000000,"MARITIME CONTROL POINTS BOTTOM RETURN NON MILCO WRECK NON DANGEROUS"
"G*OPB-----****X",25,220100,00,00,10032500002201000000,"MARITIME CONTROL LINES BEARING LINE"
"G*OPBE----****X",25,220101,00,00,10032500002201010000,"MARITIME CONTROL LINES BEARING LINE ELECTRONIC"
"G*OPBA----****X",25,220103,00,00,10032500002201030000,"MARITIME CONTROL LINES BEARING LINE ACOUSTIC"
"G*OPBT----****X",25,220105,00,00,10032500002201050000,"MARITIME CONTROL LINES BEARING LINE TORPEDO"
"G*OPBO----****X",25,220106,00,00,10032500002201060000,"MARITIME CONTROL LINES BEARING LINE ELECTRO OPTICAL INTERCEPT"
"G*GPPD----****X",25,230100,00,00,10032500002301000000,"DECEPTION DECOY DUMMY"
"G*FPACAI--****X",25,240101,00,00,10032500002401010000,"FIRES AREAS AIRSPACE COORDINATION AREA ACA IRREGULAR"
"G*FPACAR--****X",25,240102,00,00,10032500002401020000,"FIRES AREAS AIRSPACE COORDINATION AREA ACA RECTANGULAR"
"G*FPACAC--****X",25,240103,00,00,10032500002401030000,"FIRES AREAS AIRSPACE COORDINATION AREA ACA CIRCULAR"
"G*FPACFI--****X",25,240201,00,00,10032500002402010000,"FIRES AREAS FREE FIRE AREA FFA IRREGULAR"
"G*FPACFR--****X",25,240202,00,00,10032500002402020000,"FIRES AREAS FREE FIRE AREA FFA RECTANGULAR"
"G*FPACFC--****X",25,240203,00,00,10032500002402030000,"FIRES AREAS FREE FIRE AREA FFA CIRCULAR"
"G*FPACNI--****X",25,240301,00,00,10032500002403010000,"FIRES AREAS NO FIRE AREA NFA IRREGULAR"
"G*FPACNR--****X",25,240302,00,00,10032500002403020000,"FIRES AREAS NO FIRE AREA NFA RECTANGULAR"
"G*FPACNC--****X",25,240303,00,00,10032500002403030000,"FIRES AREAS NO FIRE AREA NFA CIRCULAR"
"G*FPACRI--****X",25,240401,00,00,10032500002404010000,"FIRES AREAS RESTRICTED FIRE AREA RFA IRREGULAR"
"G*FPACRR--****X",25,240402,00,00,10032500002404020000,"FIRES AREAS RESTRICTED FIRE AREA RFA RECTANGULAR"
"G*FPACRC--****X",25,240403,00,00,10032500002404030000,"FIRES AREAS RESTRICTED FIRE AREA RFA CIRCULAR"
"G*FPACPR--****X",25,240501,00,00,10032500002405010000,"FIRES AREAS POSITION AREA FOR ARTILLERY PAA PAA RECTANGULAR"
"G*FPACPC--****X",25,240502,00,00,10032500002405020000,"FIRES AREAS POSITION AREA FOR ARTILLERY PAA PAA CIRCULAR"
"G*FPPTS---****X",25,240601,00,00,10032500002406010000,"FIRES AREAS POINT TARGETS POINT SINGLE TARGET"
"G*FPPTN---****X",25,240602,00,00,10032500002406020000,"FIRES AREAS POINT TARGETS NUCLEAR TARGET"
"G*FPLT----****X",25,240701,00,00,10032500002407010000,"FIRES AREAS LINEAR TARGETS LINEAR TARGET"
"G*FPLTS---****X",25,240702,00,00,10032500002407020000,"FIRES AREAS LINEAR TARGETS LINEAR SMOKE TARGET"
"G*FPLTF---****X",25,240703,00,00,10032500002407030000,"FIRES AREAS LINEAR TARGETS FINAL PROTECTIVE FIRE FPF"
"G*FPAT----****X",25,240801,00,00,10032500002408010000,"FIRES AREAS AREA TARGETS AREA TARGET"
"G*FPATR---****X",25,240802,00,00,10032500002408020000,"FIRES AREAS AREA TARGETS RECTANGULAR TARGET"
"G*FPATC---****X",25,240803,00,00,10032500002408030000,"FIRES AREAS AREA TARGETS CIRCULAR TARGET"
"G*FPATG---****X",25,240805,00,00,10032500002408050000,"FIRES AREAS AREA TARGETS SERIES GROUP TARGETS"
"G*FPATS---****X",25,240806,00,00,10032500002408060000,"FIRES AREAS AREA TARGETS SMOKE TARGET"
"G*FPATB---****X",25,240808,00,00,10032500002408080000,"FIRES AREAS AREA TARGETS BOMB AREA"
"G*FPPCF---****X",25,240900,00,00,10032500002409000000,"FIRES AREAS FIRE SUPPORT STATION"
"G*FPACSI--****X",25,241001,00,00,10032500002410010000,"FIRES AREAS FIRE SUPPORT AREA FSA IRREGULAR"
"G*FPACSR--****X",25,241002,00,00,10032500002410020000,"FIRES AREAS FIRE SUPPORT AREA FSA RECTANGULAR"
"G*FPACSC--****X",25,241003,00,00,10032500002410030000,"FIRES AREAS FIRE SUPPORT AREA FSA CIRCULAR"
"G*FPAZII--****X",25,241101,00,00,10032500002411010000,"FIRES AREAS ARTILLERY TARGET INTELLIGENCE ZONE ATI IRREGULAR"
"G*FPAZIR--****X",25,241102,00,00,10032500002411020000,"FIRES AREAS ARTILLERY TARGET INTELLIGENCE ZONE ATI RECTANGULAR"
"G*FPAZIC--****X",25,241103,00,00,10032500002411030000,"FIRES AREAS ARTILLERY TARGET INTELLIGENCE ZONE ATI CIRCULAR"
"G*FPAZXI--****X",25,241201,00,00,10032500002412010000,"FIRES AREAS CALL FOR FIRE AREA CFFZ IRREGULAR"
"G*FPAZXR--****X",25,241202,00,00,10032500002412020000,"FIRES AREAS CALL FOR FIRE AREA CFFZ RECTANGULAR"
"G*FPAZXC--****X",25,241203,00,00,10032500002412030000,"FIRES AREAS CALL FOR FIRE AREA CFFZ CIRCULAR"
"G*FPAZSI--****X",25,241601,00,00,10032500002416010000,"FIRES AREAS SENSOR ZONE IRREGULAR"
"G*FPAZSR--****X",25,241602,00,00,10032500002416020000,"FIRES AREAS SENSOR ZONE RECTANGULAR"
"G*FPAZSC--****X",25,241603,00,00,10032500002416030000,"FIRES AREAS SENSOR ZONE CIRCULAR"
"G*FPAZCI--****X",25,241301,00,00,10032500002413010000,"FIRES AREAS CENSOR ZONE CENSOR IRREGULAR"
"G*FPAZCR--****X",25,241302,00,00,10032500002413020000,"FIRES AREAS CENSOR ZONE CENSOR RECTANGULAR"
"G*FPAZCC--****X",25,241303,00,00,10032500002413030000,"FIRES AREAS CENSOR ZONE CENSOR CIRCULAR"
"G*FPAZFI--****X",25,241401,00,00,10032500002414010000,"FIRES AREAS CRITICAL FRIENDLY ZONE CFZ IRREGULAR"
"G*FPAZFR--****X",25,241402,00,00,10032500002414020000,"FIRES AREAS CRITICAL FRIENDLY ZONE CFZ RECTANGULAR"
"G*FPAZFC--****X",25,241403,00,00,10032500002414030000,"FIRES AREAS CRITICAL FRIENDLY ZONE CFZ CIRCULAR"
"G*FPACDI--****X",25,241501,00,00,10032500002415010000,"FIRES AREAS DEAD SPACE AREA DA IRREGULAR"
"G*FPACDR--****X",25,241502,00,00,10032500002415020000,"FIRES AREAS DEAD SPACE AREA DA RECTANGULAR"
"G*FPACDC--****X",25,241503,00,00,10032500002415030000,"FIRES AREAS DEAD SPACE AREA DA CIRCULAR"
"G*FPACEI--****X",25,241601,00,00,10032500002416010000,"FIRES AREAS SENSOR ZONE SENSOR ZONE IRREGULAR"
"G*FPACER--****X",25,241602,00,00,10032500002416020000,"FIRES AREAS SENSOR ZONE SENSOR ZONE RECTANGULAR"
"G*FPACEC--****X",25,241603,00,00,10032500002416030000,"FIRES AREAS SENSOR ZONE SENSOR ZONE CIRCULAR"
"G*FPACBI--****X",25,241701,00,00,10032500002417010000,"FIRES AREAS TARGET BUILD UP AREA TBA IRREGULAR"
"G*FPACBR--****X",25,241702,00,00,10032500002417020000,"FIRES AREAS TARGET BUILD UP AREA TBA RECTANGULAR"
"G*FPACBC--****X",25,241703,00,00,10032500002417030000,"FIRES AREAS TARGET BUILD UP AREA TBA CIRCULAR"
"G*FPACVI--****X",25,241801,00,00,10032500002418010000,"FIRES AREAS TARGET VALUE AREA TVAR IRREGULAR"
"G*FPACVR--****X",25,241802,00,00,10032500002418020000,"FIRES AREAS TARGET VALUE AREA TVAR RECTANGULAR"
"G*FPACVC--****X",25,241803,00,00,10032500002418030000,"FIRES AREAS TARGET VALUE AREA TVAR CIRCULAR"
"G*FPACZI--****X",25,241901,00,00,10032500002419010000,"FIRES AREAS ZONE OF RESPONSIBILITY ZOR IRREGULAR"
"G*FPACZR--****X",25,241902,00,00,10032500002419020000,"FIRES AREAS ZONE OF RESPONSIBILITY ZOR RECTANGULAR"
"G*FPACZC--****X",25,241903,00,00,10032500002419030000,"FIRES AREAS ZONE OF RESPONSIBILITY ZOR CIRCULAR"
"G*FPACT---****X",25,242000,00,00,10032500002420000000,"FIRES AREAS TERMINALLY GUIDED MUNITION FOOTPRINT TGMF"
"G*FPAXC---****X",25,242100,00,00,10032500002421000000,"FIRES AREAS WEAPON SENSOR RANGE FAN CIRCULAR"
"G*FPAXS---****X",25,242200,00,00,10032500002422000000,"FIRES AREAS WEAPON SENSOR RANGE FAN SECTOR"
"G*FPAKBI--****X",25,242301,00,00,10032500002423010000,"FIRES AREAS KILL BOX BKB IRREGULAR BLUE"
"G*FPAKBR--****X",25,242302,00,00,10032500002423020000,"FIRES AREAS KILL BOX BKB RECTANGULAR BLUE"
"G*FPAKBC--****X",25,242303,00,00,10032500002423030000,"FIRES AREAS KILL BOX BKB CIRCULAR BLUE"
"G*FPAKPI--****X",25,242304,00,00,10032500002423040000,"FIRES AREAS KILL BOX PKB IRREGULAR PURPLE"
"G*FPAKPR--****X",25,242305,00,00,10032500002423050000,"FIRES AREAS KILL BOX PKB RECTANGULAR PURPLE"
"G*FPAKPC--****X",25,242306,00,00,10032500002423060000,"FIRES AREAS KILL BOX PKB CIRCULAR PURPLE"
"G*FPPCB---****X",25,250100,00,00,10032500002501000000,"FIRES POINTS FIRING POINT"
"G*FPPCH---****X",25,250200,00,00,10032500002502000000,"FIRES POINTS HIDE POINT"
"G*FPPCL---****X",25,250300,00,00,10032500002503000000,"FIRES POINTS LAUNCH POINT"
"G*FPPCR---****X",25,250400,00,00,10032500002504000000,"FIRES POINTS RELOAD POINT"
"G*FPPCS---****X",25,250500,00,00,10032500002505000000,"FIRES POINTS SURVEY CONTROL POINT"
"G*FPLCF---****X",25,260100,00,00,10032500002601000000,"FIRE LINES FIRE SUPPORT COORDINATION LINE FSCL"
"G*FPLCC---****X",25,260200,00,00,10032500002602000000,"FIRE LINES COORDINATED FIRE LINE CFL"
"G*FPLCN---****X",25,260300,00,00,10032500002603000000,"FIRE LINES NO FIRE LINE"
"G*FPLCR---****X",25,260500,00,00,10032500002605000000,"FIRE LINES BATTLEFIELD COORDINATION LINE"
"G*FPLCM---****X",25,260600,00,00,10032500002606000000,"FIRE LINES MUNITION FLIGHT PATH"
"G*MPOGB---****X",25,270100,00,00,10032500002701000000,"PROTECTION AREAS OBSTACLE BELT"
"G*MPOGZ---****X",25,270200,00,00,10032500002702000000,"PROTECTION AREAS OBSTACLE ZONE"
"G*MPOGF---****X",25,270300,00,00,10032500002703000000,"PROTECTION AREAS OBSTACLE FREE ZONE"
"G*MPOGR---****X",25,270400,00,00,10032500002704000000,"PROTECTION AREAS OBSTACLE RESTRICTED ZONE"
"G*MPOEB---****X",25,270501,00,00,10032500002705010000,"PROTECTION AREAS OBSTACLE EFFECTS BLOCK"
"G*MPOED---****X",25,270502,00,00,10032500002705020000,"PROTECTION AREAS OBSTACLE EFFECTS DISRUPT"
"G*MPOEF---****X",25,270503,00,00,10032500002705030000,"PROTECTION AREAS OBSTACLE EFFECTS FIX"
"G*MPOET---****X",25,270504,00,00,10032500002705040000,"PROTECTION AREAS OBSTACLE EFFECTS TURN"
