charlie_pattern,delta_set,delta_entity,delta_mod1,delta_mod2,delta_sidc,label
"E*OPAM----H****",40,131306,00,00,10034000001313060000,"OPERATION EMERGENCY MEDICAL OPERATION TRIAGE"
"E*OPCC----*****",40,131401,00,00,10034000001314010000,"OPERATION FIRE FIGHTING OPERATION FIRE HYDRANT"
"E*OPC-----*****",40,131402,00,00,10034000001314020000,"OPERATION FIRE FIGHTING OPERATION FIRE STATION"
"E*OPCD----H****",40,131403,00,00,10034000001314030000,"OPERATION FIRE FIGHTING OPERATION OTHER WATER SUPPLY LOCATION"
"E*OPD-----*****",40,131500,00,00,10034000001315000000,"OPERATION LAW ENFORCEMENT OPERATION"
"E*OPDE----*****",40,131502,00,00,10034000001315020000,"OPERATION LAW ENFORCEMENT OPERATION BORDER PATROL"
"E*OPDF----*****",40,131503,00,00,10034000001315030000,"OPERATION LAW ENFORCEMENT OPERATION CUSTOMS SERVICE"
"EFOPDG----*****",40,131504,00,00,10034000001315040000,"OPERATION LAW ENFORCEMENT OPERATION DRUG ENFORCEMENT ADMIN DEA"
"EFOPDH----*****",40,131505,00,00,10034000001315050000,"OPERATION LAW ENFORCEMENT OPERATION JUSTICE DEPT DOJ"
"E*OPDJ----*****",40,131507,00,00,10034000001315070000,"OPERATION LAW ENFORCEMENT OPERATION POLICE"
"E*OPDK----H****",40,131508,00,00,10034000001315080000,"OPERATION LAW ENFORCEMENT OPERATION PRISON"
"EFOPDL----*****",40,131509,00,00,10034000001315090000,"OPERATION LAW ENFORCEMENT OPERATION US SECRET SERVICE USSS"
"EFOPDM----*****",40,131510,00,00,10034000001315100000,"OPERATION LAW ENFORCEMENT OPERATION TRANS SECURITY ADMIN TSA"
"E*OPDN----*****",40,131511,00,00,10034000001315110000,"OPERATION LAW ENFORCEMENT OPERATION COAST GUARD"
"EFOPDO----*****",40,131512,00,00,10034000001315120000,"OPERATION LAW ENFORCEMENT OPERATION US MARSHALS"
"O*IPF-----*****",40,131513,00,00,10034000001315130000,"OPERATION LAW ENFORCEMENT OPERATION INTERNAL SECURITY FORCE"
"E*IPC-----*****",40,140000,00,00,10034000001400000000,"FIRE EVENT"
"E*IPCC----*****",40,140100,00,00,10034000001401000000,"FIRE EVENT FIRE ORIGIN"
"E*IPCF----*****",40,140200,00,00,10034000001402000000,"FIRE EVENT SMOKE"
"E*IPCA----*****",40,140300,00,00,10034000001403000000,"FIRE EVENT HOT SPOT"
"E*IPCB----*****",40,140400,00,00,10034000001404000000,"FIRE EVENT NON RESIDENTIAL FIRE"
"E*IPCD----*****",40,140500,00,00,10034000001405000000,"FIRE EVENT RESIDENTIAL FIRE"
"E*IPCE----*****",40,140600,00,00,10034000001406000000,"FIRE EVENT SCHOOL FIRE"
"E*IPCG----*****",40,140700,00,00,10034000001407000000,"FIRE EVENT SPECIAL NEEDS FIRE"
"E*IPCH----*****",40,140800,00,00,10034000001408000000,"FIRE EVENT WILD FIRE"
"E*IPD-----*****",40,150100,00,00,10034000001501000000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT"
"E*IPDA----*****",40,150101,00,00,10034000001501010000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT CHEMICAL AGENT"
"E*IPDB----*****",40,150102,00,00,10034000001501020000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT CORROSIVE MATERIAL"
"E*IPDC----*****",40,150103,00,00,10034000001501030000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT HAZARDOUS WHEN WET"
"E*IPDD----*****",40,150104,00,00,10034000001501040000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT EXPLOSIVE MATERIAL"
"E*IPDE----*****",40,150105,00,00,10034000001501050000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT FLAMMABLE GAS"
"E*IPDF----*****",40,150106,00,00,10034000001501060000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT FLAMMABLE LIQUID"
"E*IPDG----*****",40,150107,00,00,10034000001501070000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT FLAMMABLE SOLID"
"E*IPDH----*****",40,150108,00,00,10034000001501080000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT NON FLAMMABLE GAS"
"E*IPDI----*****",40,150109,00,00,10034000001501090000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT ORGANIC PEROXIDE"
"E*IPDJ----*****",40,150110,00,00,10034000001501100000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT OXIDIZER"
"E*IPDK----*****",40,150111,00,00,10034000001501110000,"HAZARD MATERIALS HAZARD MATERIALS INCIDENT RADIOACTIVE MATERIAL"
