family,code,label
delta,40150106,"Hazard Materials / Hazard Materials Incident / Flammable Liquid"
delta,40150107,"Hazard Materials / Hazard Materials Incident / Flammable Solid"
delta,40150108,"Hazard Materials / Hazard Materials Incident / Non-Flammable Gas"
delta,40150109,"Hazard Materials / Hazard Materials Incident / Organic Peroxide"
delta,40150110,"Hazard Materials / Hazard Materials Incident / Oxidizer"
delta,40150111,"Hazard Materials / Hazard Materials Incident / Radioactive Material"
delta,40150112,"Hazard Materials / Hazard Materials Incident / Spontaneously Combustible Material"
delta,40150113,"Hazard Materials / Hazard Materials Incident / Toxic Gas"
delta,40150114,"Hazard Materials / Hazard Materials Incident / Toxic Infectious Material"
delta,40150115,"Hazard Materials / Hazard Materials Incident / Unexploded Ordnance"
delta,40160000,"Transportation Incident"
delta,40160100,"Transportation Incident / Air"
delta,40160200,"Transportation Incident / Marine"
delta,40160300,"Transportation Incident / Rail"
delta,40160400,"Transportation Incident / Vehicle"
delta,40160500,"Transportation Incident / Wheeled Vehicle Explosion"
delta,40170000,"Natural Event"
delta,40170100,"Natural Event / Geologic"
delta,40170101,"Natural Event / Geologic / Aftershock"
delta,40170102,"Natural Event / Geologic / Avalanche"
delta,40170103,"Natural Event / Geologic / Earthquake Epicenter"
delta,40170104,"Natural Event / Geologic / Landslide"
delta,40170105,"Natural Event / Geologic / Subsidence"
delta,40170106,"Natural Event / Geologic / Volcanic Eruption"
delta,40170107,"Natural Event / Geologic / Volcanic Threat"
delta,40170108,"Natural Event / Geologic / Cave Entrance"
delta,40170200,"Natural Event / Hydro-Meteorological"
delta,40170201,"Natural Event / Hydro-Meteorological / Drought"
delta,40170202,"Natural Event / Hydro-Meteorological / Flood"
delta,40170203,"Natural Event / Hydro-Meteorological / Tsunami"
delta,40170300,"Natural Event / Infestation"
delta,40170301,"Natural Event / Infestation / Bird"
delta,40170302,"Natural Event / Infestation / Insect"
delta,40170303,"Natural Event / Infestation / Microbial"
delta,40170304,"Natural Event / Infestation / Reptile"
delta,40170305,"Natural Event / Infestation / Rodent"
delta,40180000,"Individual"
delta,40180100,"Individual / Religious Leader"
delta,40180200,"Individual / Speaker"
delta,01110000,"Military"
delta,01110100,"Military / Fixed-Wing"
delta,01110101,"Military / Fixed-Wing / Medical Evacuation (MEDEVAC)"
delta,01110102,"Military / Fixed-Wing / Attack/Strike"
delta,01110103,"Military / Fixed-Wing / Bomber"
delta,01110104,"Military / Fixed-Wing / Fighter"
delta,01110105,"Military / Fixed-Wing / Fighter/Bomber"
delta,01110107,"Military / Fixed-Wing / Cargo"
delta,01110108,"Military / Fixed-Wing / Electronic Combat (EC)/Jammer"
delta,01110109,"Military / Fixed-Wing / Tanker"
delta,01110110,"Military / Fixed-Wing / Patrol"
delta,01110111,"Military / Fixed-Wing / Reconnaissance"
delta,01110112,"Military / Fixed-Wing / Trainer"
delta,01110113,"Military / Fixed-Wing / Utility"
delta,01110114,"Military / Fixed-Wing / VSTOL"
delta,01110115,"Military / Fixed-Wing / Airborne Command Post (ACP)"
delta,01110116,"Military / Fixed-Wing / Airborne Early Warning (AEW)"
delta,01110117,"Military / Fixed-Wing / Antisurface Warfare"
delta,01110118,"Military / Fixed-Wing / Antisubmarine Warfare"
delta,01110119,"Military / Fixed-Wing / Communications"
delta,01110120,"Military / Fixed-Wing / Combat Search and Rescue (CSAR)"
delta,01110121,"Military / Fixed-Wing / Electronic Support (ES)"
delta,01110122,"Military / Fixed-Wing / Government"
delta,01110123,"Military / Fixed-Wing / Mine Countermeasures (MCM)"
delta,01110124,"Military / Fixed-Wing / Personnel Recovery"
delta,01110125,"Military / Fixed-Wing / Search and Rescue"
delta,01110126,"Military / Fixed-Wing / Special Operations Forces"
delta,01110127,"Military / Fixed-Wing / Ultra Light"
delta,01110128,"Military / Fixed-Wing / Photographic Reconnaissance"
delta,01110129,"Military / Fixed-Wing / Very Important Person (VIP)"
delta,01110130,"Military / Fixed-Wing / Suppression of Enemy Air Defense"
delta,01110131,"Military / Fixed-Wing / Passenger"
delta,01110132,"Military / Fixed-Wing / Escort"
delta,01110133,"Military / Fixed-Wing / Electronic Attack (EA)"
delta,01110200,"Military / Rotary-Wing"
delta,01110300,"Military / Unmanned Aircraft (UA)/Unmanned Aerial Vehicle (UAV)/Unmanned Aircraft System (UAS)/Remote Piloted Vehicle (RPV)"
delta,01110400,"Military / Vertical-Takeoff UAV (VT-UAV)"
delta,01110500,"Military / Lighter Than Air"
delta,01110600,"Military / Airship"
delta,01110700,"Military / Tethered Lighter Than Air"
delta,01120000,"Civilian"
delta,01120100,"Civilian / Fixed Wing"
delta,01120200,"Civilian / Rotary Wing"
delta,01120300,"Civilian / Unmanned Aircraft (UA) / Unmanned Aerial Vehicle (UAV) / Unmanned Aircraft System (UAS) / Remote Piloted Vehicle (RPV)"
delta,01120400,"Civilian / Lighter Than Air"
delta,01120500,"Civilian / Airship"
delta,01120600,"Civilian / Tethered Lighter than Air"
delta,01130000,"Weapon"
delta,01130100,"Weapon / Bomb"
delta,01130200,"Weapon / Decoy"
delta,01140000,"Manual Track"
delta,02110000,"Missile"
delta,45110000,"Pressure Systems"
delta,45110100,"Pressure Systems / Low Pressure Center"
delta,45110101,"Pressure Systems / Low Pressure Center / Cyclone Center"
delta,45110102,"Pressure Systems / Low Pressure Center / Tropopause Low"
delta,45110200,"Pressure Systems / High Pressure Center"
delta,45110201,"Pressure Systems / High Pressure Center / Anticyclone Center"
delta,45110202,"Pressure Systems / High Pressure Center / Tropopause High"
delta,45110300,"Pressure Systems / Frontal Systems"
delta,45110301,"Pressure Systems / Frontal Systems / Cold Front"
delta,45110302,"Pressure Systems / Frontal Systems / Upper Cold Front"
delta,45110303,"Pressure Systems / Frontal Systems / Cold Frontogenesis"
delta,45110304,"Pressure Systems / Frontal Systems / Cold Frontolysis"
delta,45110305,"Pressure Systems / Frontal Systems / Warm Front"
delta,45110306,"Pressure Systems / Frontal Systems / Upper Warm Front"
delta,45110307,"Pressure Systems / Frontal Systems / Warm Frontogenesis"
delta,45110308,"Pressure Systems / Frontal Systems / Warm Frontolysis"
delta,45110309,"Pressure Systems / Frontal Systems / Occluded Front"
delta,45110310,"Pressure Systems / Frontal Systems / Upper Occluded Front"
delta,45110311,"Pressure Systems / Frontal Systems / Occluded Frontolysis"
delta,45110312,"Pressure Systems / Frontal Systems / Stationary Front"
delta,45110313,"Pressure Systems / Frontal Systems / Upper Stationary Front"
delta,45110314,"Pressure Systems / Frontal Systems / Stationary Frontogenesis"
delta,45110315,"Pressure Systems / Frontal Systems / Stationary Frontolysis"
delta,45110400,"Pressure Systems / Lines"
delta,45110401,"Pressure Systems / Lines / Trough Axis"
delta,45110402,"Pressure Systems / Lines / Upper Trough Axis"
delta,45110403,"Pressure Systems / Lines / Ridge Axis"
delta,45110404,"Pressure Systems / Lines / Severe Squall Line"
delta,45110405,"Pressure Systems / Lines / Instability Line"
delta,45110406,"Pressure Systems / Lines / Shear Line"
delta,45110407,"Pressure Systems / Lines / Inter-Tropical Convergence Zone"
delta,45110408,"Pressure Systems / Lines / Convergence Line"
delta,45110409,"Pressure Systems / Lines / Inter-Tropical Discontinuity"
delta,45110500,"Pressure Systems / Pressure Tendency"
delta,45110501,"Pressure Systems / Pressure Tendency / Rise Then Fall Higher"
delta,45110502,"Pressure Systems / Pressure Tendency / Rise Then Steady"
delta,45110503,"Pressure Systems / Pressure Tendency / Rise"
delta,45110504,"Pressure Systems / Pressure Tendency / Rise Then Rise Higher"
delta,45110505,"Pressure Systems / Pressure Tendency / Steady"
delta,45110506,"Pressure Systems / Pressure Tendency / Fall Then Rise Lower"
delta,45110507,"Pressure Systems / Pressure Tendency / Fall Then Steady"
delta,45110508,"Pressure Systems / Pressure Tendency / Fall"
delta,45110509,"Pressure Systems / Pressure Tendency / Rise Then Fall Lower"
delta,45120000,"Turbulence"
delta,45120100,"Turbulence / Light"
delta,45120200,"Turbulence / Moderate"
delta,45120300,"Turbulence / Severe"
delta,45120400,"Turbulence / Extreme"
delta,45120500,"Turbulence / Mountain Waves"
delta,45130000,"Icing"
delta,45130100,"Icing / Clear Icing"
delta,45130101,"Icing / Clear Icing / Light"
delta,45130102,"Icing / Clear Icing / Moderate"
delta,45130103,"Icing / Clear Icing / Severe"
delta,45130200,"Icing / Rime Icing"
delta,45130201,"Icing / Rime Icing / Light"
delta,45130202,"Icing / Rime Icing / Moderate"
delta,45130203,"Icing / Rime Icing / Severe"
