family,code,label
delta,25140800,"Maneuver Lines / Infiltration Lane"
delta,25140900,"Maneuver Lines / Limit of Advance"
delta,25141000,"Maneuver Lines / Line of Departure"
delta,25141100,"Maneuver Lines / Line of Departure/Line of Contact"
delta,25141200,"Maneuver Lines / Probable Line of Deployment"
delta,25141300,"Maneuver Lines / Airhead Line"
delta,25141400,"Maneuver Lines / Bridgehead Line"
delta,25141500,"Maneuver Lines / Holding Line"
delta,25141600,"Maneuver Lines / Release Line"
delta,25141700,"Maneuver Lines / Ambush"
delta,25150000,"Maneuver Areas"
delta,25150100,"Maneuver Areas / Area"
delta,25150101,"Maneuver Areas / Area / Friendly"
delta,25150102,"Maneuver Areas / Area / Friendly Planned or On Order"
delta,25150103,"Maneuver Areas / Area / Enemy Known or Confirmed"
delta,25150104,"Maneuver Areas / Area / Enemy Suspected"
delta,25150200,"Maneuver Areas / Assembly Area"
delta,25150300,"Maneuver Areas / Occupied Assembly Area"
delta,25150301,"Maneuver Areas / Occupied Assembly Area / Occupied Assembly Area w/ Offset Unit"
delta,25150302,"Maneuver Areas / Occupied Assembly Area / Occupied Assembly Area w/ Offset Units"
delta,25150400,"Maneuver Areas / Proposed or On Order Assembly Area"
delta,25150500,"Maneuver Areas / Action Area"
delta,25150501,"Maneuver Areas / Action Area / Joint Tactical Action Area (JTAA)"
delta,25150502,"Maneuver Areas / Action Area / Submarine Action Area (SAA)"
delta,25150503,"Maneuver Areas / Action Area / Submarine-Generated Action Area (SGAA)"
delta,25150600,"Maneuver Areas / Drop Zone"
delta,25150700,"Maneuver Areas / Extraction Zone"
delta,25150800,"Maneuver Areas / Landing Zone"
delta,25150900,"Maneuver Areas / Pick-Up Zone"
delta,25151000,"Maneuver Areas / Fortified Area"
delta,25151100,"Maneuver Areas / Limited Access Area"
delta,25151200,"Maneuver Areas / Battle Position"
delta,25151201,"Maneuver Areas / Battle Position / Battle Position - Planned"
delta,25151202,"Maneuver Areas / Battle Position / Battle Position - Prepared (P) but not Occupied"
delta,25151203,"Maneuver Areas / Battle Position / Strong Point"
delta,25151204,"Maneuver Areas / Battle Position / Contain"
delta,25151205,"Maneuver Areas / Battle Position / Retain"
delta,25151300,"Maneuver Areas / Engagement Area (EA)"
delta,25151400,"Maneuver Areas / Axis of Advance"
delta,25151401,"Maneuver Areas / Axis of Advance / Friendly Airborne/Aviation"
delta,25151402,"Maneuver Areas / Axis of Advance / Attack Helicopter"
delta,25151403,"Maneuver Areas / Axis of Advance / Main Attack"
delta,25151404,"Maneuver Areas / Axis of Advance / Supporting Attack"
delta,25151405,"Maneuver Areas / Axis of Advance / Supporting Attack Planned or On Order"
delta,25151406,"Maneuver Areas / Axis of Advance / Feint"
delta,25151407,"Maneuver Areas / Axis of Advance / Enemy Confirmed"
delta,25151408,"Maneuver Areas / Axis of Advance / Enemy Templated or Suspected"
delta,25151500,"Maneuver Areas / Assault Position"
delta,25151600,"Maneuver Areas / Attack Position"
delta,25151700,"Maneuver Areas / Objective"
delta,25151800,"Maneuver Areas / Encirclement"
delta,25151801,"Maneuver Areas / Encirclement / Friendly"
delta,25151802,"Maneuver Areas / Encirclement / Enemy"
delta,25151900,"Maneuver Areas / Penetration Box"
delta,25152000,"Maneuver Areas / Attack by Fire Position"
delta,25152100,"Maneuver Areas / Support by Fire"
delta,25152200,"Maneuver Areas / Search Area/Reconnaissance Area"
delta,25160000,"Maneuver Points"
delta,25160100,"Maneuver Points / Observation Post/Outpost (Unspecified)"
delta,25160200,"Maneuver Points / Observation Post/Outpost (Specified)"
delta,25160201,"Maneuver Points / Observation Post/Outpost (Specified) / Reconnaissance Outpost"
delta,25160202,"Maneuver Points / Observation Post/Outpost (Specified) / Forward Observer Outpost"
delta,25160203,"Maneuver Points / Observation Post/Outpost (Specified) / CBRN Observation Outpost"
delta,25160204,"Maneuver Points / Observation Post/Outpost (Specified) / Sensor Outpost/Listening Post"
delta,25160205,"Maneuver Points / Observation Post/Outpost (Specified) / Combat Outpost"
delta,25160300,"Maneuver Points / Target Reference Point"
delta,25160400,"Maneuver Points / Point of Departure"
delta,25170000,"Airspace Control (Corridors) Areas"
delta,25170100,"Airspace Control (Corridors) Areas / Air Corridor"
delta,25170200,"Airspace Control (Corridors) Areas / Low Level Transit Route"
delta,25170300,"Airspace Control (Corridors) Areas / Minimum-Risk Route"
delta,25170400,"Airspace Control (Corridors) Areas / Safe Lane"
delta,25170500,"Airspace Control (Corridors) Areas / Standard Use Army Aircraft Flight Route"
delta,25170600,"Airspace Control (Corridors) Areas / Transit Corridor"
delta,25170700,"Airspace Control (Corridors) Areas / Unmanned Aircraft (UA) Route"
delta,25170800,"Airspace Control (Corridors) Areas / Base Defense Zone"
delta,25170900,"Airspace Control (Corridors) Areas / High-Density Airspace Control Zone"
delta,25171000,"Airspace Control (Corridors) Areas / Restricted Operations Zone"
delta,25171100,"Airspace Control (Corridors) Areas / Air-to-Air Restricted Operating Zone"
delta,25171200,"Airspace Control (Corridors) Areas / Unmanned Aircraft Restricted Operating Zone"
delta,25171300,"Airspace Control (Corridors) Areas / Weapon Engagement Zone"
delta,25171400,"Airspace Control (Corridors) Areas / Fighter Engagement Zone"
delta,25171500,"Airspace Control (Corridors) Areas / Joint Engagement Zone"
delta,25171600,"Airspace Control (Corridors) Areas / Missile Engagement Zone"
delta,25171700,"Airspace Control (Corridors) Areas / Low Altitude Missile Engagement Zone"
delta,25171800,"Airspace Control (Corridors) Areas / High Altitude Missile Engagement Zone"
delta,25171900,"Airspace Control (Corridors) Areas / Short Range Air Defense Engagement Zone"
delta,25172000,"Airspace Control (Corridors) Areas / Weapons Free Zone"
delta,25180000,"Airspace Control Points"
delta,25180100,"Airspace Control Points / Air Control Point"
delta,25180200,"Airspace Control Points / Communications Checkpoint"
delta,25180300,"Airspace Control Points / Downed Aircrew Pick-Up Point"
delta,25180400,"Airspace Control Points / Pop-up Point"
delta,25180500,"Airspace Control Points / Air Control Rendezvous"
delta,25180600,"Airspace Control Points / TACAN"
delta,25180700,"Airspace Control Points / CAP Station"
delta,25180800,"Airspace Control Points / AEW Station"
delta,25180900,"Airspace Control Points / ASW (Helo and F/W) Station"
delta,25181000,"Airspace Control Points / Strike Initial Point"
delta,25181100,"Airspace Control Points / Replenishment Station"
delta,25181200,"Airspace Control Points / Tanking"
delta,25181300,"Airspace Control Points / Antisubmarine Warfare, Rotary Wing"
delta,25181400,"Airspace Control Points / SUCAP - Fixed Wing"
delta,25181500,"Airspace Control Points / SUCAP - Rotary Wing"
delta,25181600,"Airspace Control Points / MIW - Fixed Wing"
delta,25181700,"Airspace Control Points / MIW - Rotary Wing"
delta,25181800,"Airspace Control Points / Tomcat"
delta,25181900,"Airspace Control Points / Rescue"
delta,25182000,"Airspace Control Points / Unmanned Aerial System (UAS/UA)"
delta,25182100,"Airspace Control Points / VTUA"
delta,25182200,"Airspace Control Points / Orbit"
delta,25182300,"Airspace Control Points / Orbit - Figure Eight"
delta,25182400,"Airspace Control Points / Orbit - Race Track"
delta,25182500,"Airspace Control Points / Orbit - Random Closed"
delta,25190000,"Airspace Control Lines"
delta,25190100,"Airspace Control Lines / Identification Friend or Foe Off Line"
delta,25190200,"Airspace Control Lines / Identification Friend or Foe On Line"
delta,25200000,"Maritime Control Areas"
delta,25200100,"Maritime Control Areas / Launch Area"
delta,25200101,"Maritime Control Areas / Launch Area / Ellipse/Circle"
delta,25200200,"Maritime Control Areas / Defended Area"
delta,25200201,"Maritime Control Areas / Defended Area / Ellipse/Circle"
delta,25200202,"Maritime Control Areas / Defended Area / Rectangle"
delta,25200300,"Maritime Control Areas / No Attack (NOTACK) Zone"
delta,25200400,"Maritime Control Areas / Ship Area of Interest"
delta,25200401,"Maritime Control Areas / Ship Area of Interest / Ellipse/Circle"
delta,25200402,"Maritime Control Areas / Ship Area of Interest / Rectangle"
delta,25200500,"Maritime Control Areas / Active Maneuver Area"
delta,25200600,"Maritime Control Areas / Cued Acquisition Doctrine"
delta,25200700,"Maritime Control Areas / Radar Search Doctrine"
delta,25210000,"Maritime Control Points"
delta,25210100,"Maritime Control Points / Plan Ship"
delta,25210200,"Maritime Control Points / Aim Point"
delta,25210300,"Maritime Control Points / Defended Asset"
delta,25210400,"Maritime Control Points / Drop Point"
delta,25210500,"Maritime Control Points / Entry Point"
delta,25210600,"Maritime Control Points / Air Detonation"
delta,25210700,"Maritime Control Points / Ground Zero"
delta,25210800,"Maritime Control Points / Impact Point"
delta,25210900,"Maritime Control Points / Predicted Impact Point"
delta,25211000,"Maritime Control Points / Launched Torpedo"
delta,25211100,"Maritime Control Points / Missile Detection Point"
delta,25211200,"Maritime Control Points / Acoustic Countermeasure (Decoy)"
delta,25211300,"Maritime Control Points / Electronic Countermeasures (ECM) Decoy"
delta,25211400,"Maritime Control Points / Brief Contact"
delta,25211500,"Maritime Control Points / Datum Lost Contact"
delta,25211600,"Maritime Control Points / BT Buoy Drop"
delta,25211700,"Maritime Control Points / Reported Bottom Sub"
delta,25211800,"Maritime Control Points / Moving Haven"
delta,25211900,"Maritime Control Points / Screen Center"
delta,25212000,"Maritime Control Points / Lost Contact"
delta,25212100,"Maritime Control Points / Sinker"
delta,25212200,"Maritime Control Points / Trial Track"
delta,25212300,"Maritime Control Points / Acoustic Fix"
delta,25212400,"Maritime Control Points / Electromagnetic Fix"
delta,25212500,"Maritime Control Points / Electromagnetic - Magnetic Anomaly Detection (MAD)"
delta,25212600,"Maritime Control Points / Optical Fix"
delta,25212700,"Maritime Control Points / Formation"
delta,25212800,"Maritime Control Points / Harbor"
delta,25212900,"Maritime Control Points / Harbor Entrance Point"
delta,25212901,"Maritime Control Points / Harbor Entrance Point / A"
delta,25212902,"Maritime Control Points / Harbor Entrance Point / Q"
delta,25212903,"Maritime Control Points / Harbor Entrance Point / X"
delta,25212904,"Maritime Control Points / Harbor Entrance Point / Y"
delta,25213000,"Maritime Control Points / Dip Position"
delta,25213100,"Maritime Control Points / Search"
delta,25213200,"Maritime Control Points / Search Area"
delta,25213300,"Maritime Control Points / Search Center"
delta,25213400,"Maritime Control Points / Navigational Reference Point"
delta,25213500,"Maritime Control Points / Sonobuoy"
delta,25213501,"Maritime Control Points / Sonobuoy / Ambient Noise"
delta,25213502,"Maritime Control Points / Sonobuoy / Air Transportable Communication"
delta,25213503,"Maritime Control Points / Sonobuoy / Barra"
delta,25213504,"Maritime Control Points / Sonobuoy / Bathythermograph Transmitting"
delta,25213505,"Maritime Control Points / Sonobuoy / Command Active Multi-Beam (CAMBS)"
delta,25213506,"Maritime Control Points / Sonobuoy / Command Active Sonobuoy Directional Command Active Sonobuoy System (CASS)"
delta,25213507,"Maritime Control Points / Sonobuoy / Digital Frequency Analysis and Recording (DIFAR)"
delta,25213508,"Maritime Control Points / Sonobuoy / Directional Command Active Sonobuoy System (DICASS)"
delta,25213509,"Maritime Control Points / Sonobuoy / Expendable Reliable Acoustic Path Sonobuoy (ERAPS)"
delta,25213510,"Maritime Control Points / Sonobuoy / Expired"
delta,25213511,"Maritime Control Points / Sonobuoy / Kingpin"
delta,25213512,"Maritime Control Points / Sonobuoy / Low Frequency Analysis and Recording (LOFAR)"
delta,25213513,"Maritime Control Points / Sonobuoy / Pattern Center"
delta,25213514,"Maritime Control Points / Sonobuoy / Range Only"
delta,25213515,"Maritime Control Points / Sonobuoy / Vertical Line Array Directional Frequency Analysis and Recording (DIFAR)"
delta,25213600,"Maritime Control Points / Reference Point"
delta,25213700,"Maritime Control Points / Special Point"
delta,25213800,"Maritime Control Points / Navigational Reference Point"
delta,25213900,"Maritime Control Points / Data Link Reference Point"
delta,25214000,"Maritime Control Points / Forward Observer / Spotter Position"
delta,25214100,"Maritime Control Points / Vital Area Center"
delta,25214200,"Maritime Control Points / Corridor Tab Point"
delta,25214300,"Maritime Control Points / Enemy Point"
delta,25214400,"Maritime Control Points / Marshall Point"
delta,25214500,"Maritime Control Points / Position and Intended Movement (PIM)"
delta,25214600,"Maritime Control Points / Pre-Landfall Waypoint"
delta,25214700,"Maritime Control Points / Estimated Position (EP)"
delta,25214800,"Maritime Control Points / Waypoint"
delta,25214900,"Maritime Control Points / General Subsurface Station"
delta,25215000,"Maritime Control Points / Submarine Subsurface Station"
delta,25215100,"Maritime Control Points / Submarine Antisubmarine Warfare Subsurface Station"
delta,25215200,"Maritime Control Points / Unmanned Underwater Vehicle Subsurface Station"
delta,25215300,"Maritime Control Points / Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Subsurface Station"
delta,25215400,"Maritime Control Points / Mine Warfare Unmanned Underwater Vehicle Subsurface Station"
delta,25215500,"Maritime Control Points / Surface Warfare Unmanned Underwater Vehicle Subsurface Station"
delta,25215600,"Maritime Control Points / General Surface Station"
delta,25215700,"Maritime Control Points / Antisubmarine Warfare (ASW) Surface Station"
delta,25215800,"Maritime Control Points / Mine Warfare Surface Station"
delta,25215900,"Maritime Control Points / Non-Combatant Surface Station"
delta,25216000,"Maritime Control Points / Picket Surface Station"
delta,25216100,"Maritime Control Points / Rendezvous Surface Station"
delta,25216200,"Maritime Control Points / Replenishment at Sea Surface Station"
delta,25216300,"Maritime Control Points / Rescue Surface Station"
delta,25216400,"Maritime Control Points / Surface Warfare Surface Station"
delta,25216500,"Maritime Control Points / Unmanned Underwater Vehicle Surface Station"
delta,25216600,"Maritime Control Points / Antisubmarine Warfare (ASW) Unmanned Underwater Vehicle Surface Station"
delta,25216700,"Maritime Control Points / Mine Warfare Unmanned Underwater Vehicle Surface Station"
delta,25216800,"Maritime Control Points / Remote Multi-Mission Vehicle Mine Warfare Unmanned Underwater"
delta,25216900,"Maritime Control Points / Surface Warfare Mine Warfare Unmanned Underwater Vehicle"
delta,25217000,"Maritime Control Points / Shore Control Station"
delta,25217100,"Maritime Control Points / General Route"
delta,25217200,"Maritime Control Points / Diversion Route"
delta,25217300,"Maritime Control Points / Position and Intended Movement (PIM) Route"
delta,25217400,"Maritime Control Points / Picket Route"
delta,25217500,"Maritime Control Points / Point R Route"
delta,25217600,"Maritime Control Points / Rendezvous Route"
delta,25217700,"Maritime Control Points / Waypoint Route"
delta,25217800,"Maritime Control Points / Clutter-Stationary or Cease Reporting"
delta,25217900,"Maritime Control Points / Tentative or Provisional Track"
delta,25218000,"Maritime Control Points / Distressed Vessel"
delta,25218100,"Maritime Control Points / Ditched Aircraft/Downed Aircraft"
delta,25218200,"Maritime Control Points / Person in Water/Bailout"
delta,25218300,"Maritime Control Points / Iceberg"
delta,25218400,"Maritime Control Points / Navigational"
delta,25218500,"Maritime Control Points / Oil Rig"
delta,25218600,"Maritime Control Points / Sea Mine-Like"
delta,25218700,"Maritime Control Points / Bottom Return/Non-Mine Like Bottom Object (NOMBO)"
delta,25218800,"Maritime Control Points / Bottom Return/Non-Mine Like Bottom Object (NOMBO)/Installation Manmade"
delta,25218900,"Maritime Control Points / Marine Life"
delta,25219000,"Maritime Control Points / Sea Anomaly (Wake-Current-Knuckle)"
delta,25219100,"Maritime Control Points / Bottom Return/Non-MILCO-Wreck-Dangerous"
delta,25219200,"Maritime Control Points / Bottom Return/Non-MILCO-Wreck-Non Dangerous"
delta,25220000,"Maritime Control Lines"
delta,25220100,"Maritime Control Lines / Bearing Line"
delta,25220101,"Maritime Control Lines / Bearing Line / Electronic"
delta,25220102,"Maritime Control Lines / Bearing Line / Electronic Warfare (EW)"
delta,25220103,"Maritime Control Lines / Bearing Line / Acoustic"
delta,25220104,"Maritime Control Lines / Bearing Line / Acoustic (Ambiguous)"
delta,25220105,"Maritime Control Lines / Bearing Line / Torpedo"
delta,25220106,"Maritime Control Lines / Bearing Line / Electro-Optical Intercept"
delta,25220107,"Maritime Control Lines / Bearing Line / Jammer"
delta,25220108,"Maritime Control Lines / Bearing Line / Radio Direction Finder (RDF)"
delta,25230000,"Deception"
delta,25230100,"Deception / Decoy/Dummy"
delta,25230200,"Deception / Decoy/Dummy/Feint"
delta,25240000,"Fires Areas"
delta,25240100,"Fires Areas / Airspace Coordination Area"
delta,25240101,"Fires Areas / Airspace Coordination Area / Irregular"
delta,25240102,"Fires Areas / Airspace Coordination Area / Rectangular"
delta,25240103,"Fires Areas / Airspace Coordination Area / Circular"
delta,25240200,"Fires Areas / Free Fire Area"
delta,25240201,"Fires Areas / Free Fire Area / Irregular"
delta,25240202,"Fires Areas / Free Fire Area / Rectangular"
delta,25240203,"Fires Areas / Free Fire Area / Circular"
delta,25240300,"Fires Areas / No Fire Area"
delta,25240301,"Fires Areas / No Fire Area / Irregular"
delta,25240302,"Fires Areas / No Fire Area / Rectangular"
delta,25240303,"Fires Areas / No Fire Area / Circular"
delta,25240400,"Fires Areas / Restricted Fire Area"
delta,25240401,"Fires Areas / Restricted Fire Area / Irregular"
delta,25240402,"Fires Areas / Restricted Fire Area / Rectangular"
delta,25240403,"Fires Areas / Restricted Fire Area / Circular"
delta,25240500,"Fires Areas / Position Area For Artillery (PAA)"
delta,25240501,"Fires Areas / Position Area For Artillery (PAA) / Rectangular"
delta,25240502,"Fires Areas / Position Area For Artillery (PAA) / Circular"
delta,25240600,"Fires Areas / Point Targets"
delta,25240601,"Fires Areas / Point Targets / Point or Single Target"
delta,25240602,"Fires Areas / Point Targets / Nuclear Target"
delta,25240603,"Fires Areas / Point Targets / Target-Recorded"
delta,25240700,"Fires Areas / Linear Targets"
delta,25240701,"Fires Areas / Linear Targets / Linear Target"
delta,25240702,"Fires Areas / Linear Targets / Linear Smoke Target"
delta,25240703,"Fires Areas / Linear Targets / Final Protective Fire (FPF)"
delta,25240800,"Fires Areas / Area Targets"
delta,25240801,"Fires Areas / Area Targets / Area Target"
delta,25240802,"Fires Areas / Area Targets / Rectangular Target"
delta,25240803,"Fires Areas / Area Targets / Circular Target"
delta,25240804,"Fires Areas / Area Targets / Rectangular Target - Single Target"
delta,25240805,"Fires Areas / Area Targets / Series of Targets"
delta,25240806,"Fires Areas / Area Targets / Smoke Target"
delta,25240807,"Fires Areas / Area Targets / Smoke Planned or On Order"
delta,25240808,"Fires Areas / Area Targets / Bomb Area"
delta,25240900,"Fires Areas / Fire Support Station"
delta,25241000,"Fires Areas / Fire Support Area"
delta,25241001,"Fires Areas / Fire Support Area / Irregular"
delta,25241002,"Fires Areas / Fire Support Area / Rectangular"
delta,25241003,"Fires Areas / Fire Support Area / Circular"
delta,25241100,"Fires Areas / Artillery Target Intelligence Zone"
delta,25241101,"Fires Areas / Artillery Target Intelligence Zone / Irregular"
delta,25241102,"Fires Areas / Artillery Target Intelligence Zone / Rectangular"
delta,25241103,"Fires Areas / Artillery Target Intelligence Zone / Circular"
delta,25241200,"Fires Areas / Call for Fire Zone (CFFZ)"
delta,25241201,"Fires Areas / Call for Fire Zone (CFFZ) / Irregular"
delta,25241202,"Fires Areas / Call for Fire Zone (CFFZ) / Rectangular"
delta,25241203,"Fires Areas / Call for Fire Zone (CFFZ) / Circular"
delta,25241300,"Fires Areas / Censor Zone"
delta,25241301,"Fires Areas / Censor Zone / Irregular"
delta,25241302,"Fires Areas / Censor Zone / Rectangular"
delta,25241303,"Fires Areas / Censor Zone / Circular"
delta,25241400,"Fires Areas / Critical Friendly Zone"
delta,25241401,"Fires Areas / Critical Friendly Zone / Irregular"
delta,25241402,"Fires Areas / Critical Friendly Zone / Rectangular"
delta,25241403,"Fires Areas / Critical Friendly Zone / Circular"
delta,25241500,"Fires Areas / Dead Space Area"
delta,25241501,"Fires Areas / Dead Space Area / Irregular"
delta,25241502,"Fires Areas / Dead Space Area / Rectangular"
delta,25241503,"Fires Areas / Dead Space Area / Circular"
delta,25241600,"Fires Areas / Sensor Zone"
delta,25241601,"Fires Areas / Sensor Zone / Irregular"
delta,25241602,"Fires Areas / Sensor Zone / Rectangular"
delta,25241603,"Fires Areas / Sensor Zone / Circular"
delta,25241700,"Fires Areas / Target Build-up Area"
delta,25241701,"Fires Areas / Target Build-up Area / Irregular"
delta,25241702,"Fires Areas / Target Build-up Area / Rectangular"
delta,25241703,"Fires Areas / Target Build-up Area / Circular"
delta,25241800,"Fires Areas / Target Value Area"
delta,25241801,"Fires Areas / Target Value Area / Irregular"
delta,25241802,"Fires Areas / Target Value Area / Rectangular"
delta,25241803,"Fires Areas / Target Value Area / Circular"
delta,25241900,"Fires Areas / Zone of Responsibility"
delta,25241901,"Fires Areas / Zone of Responsibility / Irregular"
delta,25241902,"Fires Areas / Zone of Responsibility / Rectangular"
delta,25241903,"Fires Areas / Zone of Responsibility / Circular"
delta,25242000,"Fires Areas / Terminally Guided Munition Footprint (TGMF)"
delta,25242100,"Fires Areas / Weapon/Sensor Range fan-Circular"
delta,25242200,"Fires Areas / Weapon/Sensor Range fan-Sector"
delta,25242300,"Fires Areas / Kill Box"
delta,25242301,"Fires Areas / Kill Box / Irregular-Blue"
delta,25242302,"Fires Areas / Kill Box / Rectangular-Blue"
delta,25242303,"Fires Areas / Kill Box / Circular-Blue"
delta,25242304,"Fires Areas / Kill Box / Irregular-Purple"
delta,25242305,"Fires Areas / Kill Box / Rectangular-Purple"
delta,25242306,"Fires Areas / Kill Box / Circular-Purple"
delta,25250000,"Fires Points"
delta,25250100,"Fires Points / Firing Point"
delta,25250200,"Fires Points / Hide Point"
delta,25250300,"Fires Points / Launch Point"
delta,25250400,"Fires Points / Reload Point"
delta,25250500,"Fires Points / Survey Control Point"
delta,25260000,"Fire Lines"
delta,25260100,"Fire Lines / Fire Support Coordination Line (FSCL)"
delta,25260200,"Fire Lines / Coordinated Fire Line (CFL)"
delta,25260300,"Fire Lines / No Fire Line"
delta,25260400,"Fire Lines / Battlefield Coordination Line"
delta,25260500,"Fire Lines / Restrictive Fire Line"
delta,25260600,"Fire Lines / Munition Flight Path"
delta,25270000,"Protection Areas"
delta,25270100,"Protection Areas / Obstacle Belt"
delta,25270200,"Protection Areas / Obstacle Zone"
delta,25270300,"Protection Areas / Obstacle Free Zone"
delta,25270400,"Protection Areas / Obstacle Restricted Zone"
delta,25270500,"Protection Areas / Obstacle Effects"
delta,25270501,"Protection Areas / Obstacle Effects / Block"
delta,25270502,"Protection Areas / Obstacle Effects / Disrupt"
delta,25270503,"Protection Areas / Obstacle Effects / Fix"
delta,25270504,"Protection Areas / Obstacle Effects / Turn"
delta,25270600,"Protection Areas / Obstacle Bypass"
delta,25270601,"Protection Areas / Obstacle Bypass / Easy"
delta,25270602,"Protection Areas / Obstacle Bypass / Difficult"
delta,25270603,"Protection Areas / Obstacle Bypass / Impossible"
delta,25270700,"Protection Areas / Minefield"
delta,25270701,"Protection Areas / Minefield / Completed"
delta,25270702,"Protection Areas / Minefield / Planned"
delta,25270703,"Protection Areas / Minefield / Known Enemy"
delta,25270704,"Protection Areas / Minefield / Suspected or Templated Enemy"
delta,25270705,"Protection Areas / Minefield / Dummy"
delta,25270706,"Protection Areas / Minefield / Dummy Minefield, Dymanic"
delta,25270707,"Protection Areas / Minefield / Dynamic Depiction"
delta,25270800,"Protection Areas / Mined Area"
delta,25270900,"Protection Areas / Decoy Mined Area"
delta,25270901,"Protection Areas / Decoy Mined Area / Fenced"
delta,25271000,"Protection Areas / Unexploded Explosive Ordnance (UXO) Area"
delta,25271100,"Protection Areas / Bridge or Gap"
delta,25271200,"Protection Areas / Roadblocks, Craters and Blown Bridges"
delta,25271201,"Protection Areas / Roadblocks, Craters and Blown Bridges / Planned"
delta,25271202,"Protection Areas / Roadblocks, Craters and Blown Bridges / Explosives-State of Readiness 1 (Safe)"
delta,25271203,"Protection Areas / Roadblocks, Craters and Blown Bridges / Explosives-State of Readiness 2 (armed but passable)"
delta,25271204,"Protection Areas / Roadblocks, Craters and Blown Bridges / Roadblock Complete (Executed)"
delta,25271300,"Protection Areas / Assault Crossing"
delta,25271400,"Protection Areas / Bridge"
delta,25271500,"Protection Areas / Ford Easy"
delta,25271600,"Protection Areas / Ford Difficult"
delta,25271700,"Protection Areas / Biological Contaminated Area"
delta,25271701,"Protection Areas / Biological Contaminated Area / Toxic Industrial Material"
delta,25271800,"Protection Areas / Chemical Contaminated Area"
delta,25271801,"Protection Areas / Chemical Contaminated Area / Toxic Industrial Material"
delta,25271900,"Protection Areas / Nuclear Contaminated Area"
delta,25272000,"Protection Areas / Radiological Contaminated Area"
delta,25272001,"Protection Areas / Radiological Contaminated Area / Toxic Industrial Material"
delta,25272100,"Protection Areas / Minimum Safe Distance Zone"
delta,25272200,"Protection Areas / Radiation Dose Rate Contour Lines"
delta,25280000,"Protection Points"
delta,25280100,"Protection Points / Abatis"
delta,25280200,"Protection Points / Antipersonnel Mine"
delta,25280201,"Protection Points / Antipersonnel Mine / Antipersonnel Mine with Directional Effects"
delta,25280300,"Protection Points / Antitank Mine"
delta,25280400,"Protection Points / Antitank Mine with Anti-handling Device"
delta,25280500,"Protection Points / Wide Area Antitank Mine"
delta,25280600,"Protection Points / Unspecified Mine"
delta,25280700,"Protection Points / Booby Trap"
delta,25280800,"Protection Points / Engineer Regulating Point"
delta,25280900,"Protection Points / Shelter"
delta,25281000,"Protection Points / Shelter Above Ground"
delta,25281100,"Protection Points / Below Ground Shelter"
delta,25281200,"Protection Points / Fort"
delta,25281300,"Protection Points / Chemical Event"
delta,25281301,"Protection Points / Chemical Event / Toxic Industrial Material"
delta,25281400,"Protection Points / Biological Event"
delta,25281401,"Protection Points / Biological Event / Toxic Industrial Material"
delta,25281500,"Protection Points / Nuclear Event"
delta,25281600,"Protection Points / Nuclear Fallout Producing Event"
delta,25281700,"Protection Points / Radiological"
delta,25281701,"Protection Points / Radiological / Toxic Industrial Material"
delta,25281800,"Protection Points / General Decontamination Point/Site"
delta,25281801,"Protection Points / General Decontamination Point/Site / Alternate"
delta,25281802,"Protection Points / General Decontamination Point/Site / Equipment"
delta,25281803,"Protection Points / General Decontamination Point/Site / Troop"
delta,25281804,"Protection Points / General Decontamination Point/Site / Equipment/Troop"
delta,25281805,"Protection Points / General Decontamination Point/Site / Operational"
delta,25281806,"Protection Points / General Decontamination Point/Site / Thorough"
delta,25281807,"Protection Points / General Decontamination Point/Site / Main Equipment"
delta,25281808,"Protection Points / General Decontamination Point/Site / Forward Troop"
delta,25281809,"Protection Points / General Decontamination Point/Site / Wounded Personnel"
delta,25281900,"Protection Points / Tetrahedrons, Dragons Teeth, and Other Similar Obstacles"
delta,25281901,"Protection Points / Tetrahedrons, Dragons Teeth, and Other Similar Obstacles / Fixed and Prefabricated"
delta,25281902,"Protection Points / Tetrahedrons, Dragons Teeth, and Other Similar Obstacles / Movable"
delta,25281903,"Protection Points / Tetrahedrons, Dragons Teeth, and Other Similar Obstacles / Movable and Prefabricated"
delta,25282000,"Protection Points / Vertical Obstructions"
delta,25282001,"Protection Points / Vertical Obstructions / Tower-Low"
delta,25282002,"Protection Points / Vertical Obstructions / Tower-High"
delta,25282003,"Protection Points / Vertical Obstructions / Overhead Wire"
delta,25290000,"Protection Lines"
delta,25290100,"Protection Lines / Obstacle Line"
delta,25290200,"Protection Lines / Antitank Obstacles"
delta,25290201,"Protection Lines / Antitank Obstacles / Under Construction"
delta,25290202,"Protection Lines / Antitank Obstacles / Completed"
delta,25290203,"Protection Lines / Antitank Obstacles / Reinforced-with Antitank Mines"
delta,25290204,"Protection Lines / Antitank Obstacles / Antitank Wall"
delta,25290300,"Protection Lines / Wire Obstacles"
delta,25290301,"Protection Lines / Wire Obstacles / Unspecified Wire"
delta,25290302,"Protection Lines / Wire Obstacles / Single Fence Wire"
delta,25290303,"Protection Lines / Wire Obstacles / Double Fence Wire"
delta,25290304,"Protection Lines / Wire Obstacles / Double Apron Fence"
delta,25290305,"Protection Lines / Wire Obstacles / Low Wire Fence"
delta,25290306,"Protection Lines / Wire Obstacles / High Wire Fence"
delta,25290307,"Protection Lines / Wire Obstacles / Single Concertina"
